ID	Score
it_47	6.06
it_48	5.7
it_49	1.39
it_50	5.49
it_51	3.26
it_52	1.67
it_53	4.45
it_54	4.12
it_55	2.73
it_56	5.6
it_57	5.51
it_58	4.39
it_59	1.1
it_60	4.48
it_61	5.39
it_62	1.34
it_63	4.35
it_64	5.59
it_65	1.52
it_66	1.88
it_67	1.99
it_68	3.49
it_69	4.5
it_70	4.01
it_71	2.43
it_72	1.62
it_73	3.94
it_74	5.48
it_75	4.01
it_76	1.32
it_77	5.65
it_78	5.61
it_79	1.23
it_80	5.92
it_81	5.94
it_82	2.59
it_83	5.66
it_84	3.48
it_85	4.11
it_86	5.46
it_87	1.16
it_88	5.92
it_89	5.6
it_90	2.89
it_91	3.34
it_92	5.11
it_93	5.81
it_94	5.28
it_95	3.73
it_96	1.32
it_97	5.56
it_98	4.79
it_99	5.54
it_100	3.08
it_101	4.62
it_102	5.55
it_103	2.15
it_104	2.36
it_105	5.71
it_106	1.55
it_107	5.01
it_108	5.03
it_109	4.06
it_110	5.72
it_111	1.51
it_112	1.68
it_113	2.24
it_114	5.56
it_115	2.94
it_116	5.92
it_117	5.09
it_118	4.5
it_119	1.46
it_120	4.98
it_121	5.67
it_122	4.07
it_123	1.2
it_124	5.37
it_125	5.65
it_126	5.57
it_127	4.1
it_128	3.06
it_129	4.3
it_130	5.59
it_131	1.23
it_132	4.3
it_133	6.33
it_134	4.01
it_135	5.46
it_136	4.51
it_137	6.06
it_138	4.94
it_139	1.48
it_140	4.95
it_141	5.87
it_142	4.75
it_143	5.12
it_144	5.23
it_145	5.96
it_146	4.38
it_147	4.02
it_148	5.87
it_149	4.58
it_150	3.29
it_151	4.62
it_152	5.89
it_153	3.88
it_154	1.26
it_155	5.91
it_156	2.95
it_157	5.46
fr_0	1.55
fr_1	6.14
fr_2	5.87
fr_3	6.45
fr_4	5.75
fr_5	1.11
fr_6	1.19
fr_7	6.05
fr_8	2.09
fr_9	5.7
fr_10	5.97
fr_11	6.55
fr_12	6.51
fr_13	1.71
fr_14	6.1
fr_15	6.08
fr_16	1.02
fr_17	6.03
fr_18	6.16
fr_19	5.36
fr_20	5.6
fr_21	4.64
fr_22	5.99
fr_23	6.47
fr_24	6.54
fr_25	1.86
fr_26	1.04
fr_27	6.44
fr_28	1.03
fr_29	6.42
fr_30	1.42
fr_31	6.04
fr_32	4.44
fr_33	5.87
fr_34	5.43
fr_35	6.51
fr_36	6.52
fr_37	6.2
fr_38	5.95
fr_39	2.28
fr_40	6.49
fr_41	5.09
fr_42	4.99
fr_43	1.12
fr_44	1.3
fr_45	5.95
fr_46	5.88
fr_47	5.94
fr_48	2.18
fr_49	6.26
fr_50	6.34
fr_51	6.36
fr_52	3.25
fr_53	1.64
fr_54	6.0
fr_55	5.98
fr_56	6.4
fr_57	6.28
fr_58	1.37
fr_59	6.52
fr_60	1.19
fr_61	6.5
fr_62	2.18
fr_63	6.42
fr_64	6.55
fr_65	1.9
fr_66	6.39
fr_67	6.51
fr_68	5.74
fr_69	6.45
fr_70	6.01
fr_71	6.5
fr_72	5.87
fr_73	1.37
fr_74	6.03
fr_75	5.41
fr_76	1.14
fr_77	6.07
fr_78	4.82
fr_79	1.88
fr_80	5.92
fr_81	1.08
fr_82	5.91
fr_83	6.03
fr_84	6.0
fr_85	1.16
fr_86	5.43
fr_87	6.3
fr_88	5.76
fr_89	5.04
fr_90	1.1
fr_91	1.02
fr_92	6.33
fr_93	6.5
fr_94	2.33
fr_95	6.08
fr_96	5.99
fr_97	6.03
fr_98	5.04
fr_99	6.52
fr_100	1.41
fr_101	6.48
fr_102	6.15
fr_103	1.1
fr_104	4.87
fr_105	5.62
fr_106	6.08
fr_107	5.72
fr_108	6.09
fr_109	6.37
fr_110	5.38
fr_111	1.73
fr_112	6.4
fr_113	5.22
fr_114	5.37
fr_115	6.45
fr_116	6.06
fr_117	0.99
fr_118	2.94
fr_119	5.7
fr_120	5.75
fr_121	1.59
fr_122	0.98
fr_123	6.0
fr_124	1.07
fr_125	6.46
fr_126	5.09
fr_127	2.67
fr_128	6.04
fr_129	6.47
fr_130	0.94
fr_131	5.79
fr_132	6.54
fr_133	3.04
fr_134	5.93
fr_135	6.0
fr_136	5.54
fr_137	1.27
fr_138	2.75
fr_139	5.75
fr_140	5.82
fr_141	6.02
fr_142	4.45
fr_143	1.27
fr_144	5.86
fr_145	6.11
fr_146	5.99
fr_147	1.09
fr_148	6.3
fr_149	5.94
fr_150	6.48
fr_151	5.88
fr_152	6.42
fr_153	3.88
fr_154	6.1
fr_155	6.1
fr_156	6.47
fr_157	5.78
