ID	Score
en_253	4.5
en_254	4.08
en_255	5.15
en_256	5.11
en_257	4.89
en_258	3.98
en_259	4.75
en_260	4.8
en_261	4
en_262	3.26
en_263	3.48
en_264	3.31
en_265	5.45
en_266	1.58
en_267	4.72
en_268	5.3
en_269	4.34
en_270	5.08
en_271	4.67
en_272	5.04
en_273	4.46
en_274	3.34
en_275	4.12
en_276	4.71
en_277	5.18
en_278	4.97
en_279	4.42
en_280	3.79
en_281	5.3
en_282	4.76
en_283	4.91
en_284	5.09
en_285	4.58
en_286	4.48
en_287	4.72
en_288	5.52
en_289	5.56
en_290	4.69
en_291	4.97
en_292	1.55
en_293	1.5
en_294	4.28
en_295	4.18
en_296	4.88
en_297	4.08
en_298	4.52
en_299	4.59
en_300	4.12
en_301	3.62
en_302	4.67
en_303	5.39
en_304	4.7
en_305	4.49
en_306	4.36
en_307	1.44
en_308	4.8
en_309	5.35
en_310	5.11
en_311	4.69
en_312	5.12
en_313	4.85
en_314	4.65
en_315	5.02
en_316	4.86
en_317	4.09
en_318	1.43
en_319	4.08
en_320	4.73
en_321	5.09
en_322	3.7
en_323	5.06
en_324	4.9
en_325	5.98
en_326	4.04
en_327	5.38
en_328	1.69
en_329	3.96
en_330	4.86
en_331	4.35
en_332	5.09
en_333	5.58
en_334	4.95
en_335	3.67
en_336	5.06
en_337	4.03
en_338	3.28
en_339	4.85
en_340	4.45
en_341	5.06
en_342	3.7
en_343	3.45
en_344	4.72
en_345	4.8
en_346	3.97
en_347	4.54
en_348	3.4
en_349	1.58
en_350	4.04
en_351	4.36
en_352	5.3
en_353	3.48
en_354	5.44
en_355	4.74
en_356	5.3
en_357	4.78
en_358	1.54
en_359	4.26
en_360	4.47
en_361	3.92
en_362	5.12
en_363	3.79
en_364	4.28
en_365	4.72
en_366	4.14
en_367	4.98
en_368	4.6
en_369	3.86
en_370	4.7
en_371	3.84
en_372	5.06
en_373	5.52
en_374	3.35
en_375	1.83
en_376	4.87
en_377	1.48
en_378	5.19
en_379	5.51
en_380	5.03
en_381	4.72
en_382	4.44
en_383	3.93
en_384	3.95
en_385	5.24
en_386	5.5
en_387	4.91
en_388	4.45
en_389	5.06
en_390	5.84
en_391	4.94
en_392	4.65
en_393	4.4
en_394	4.68
en_395	4.6
en_396	4.94
en_397	4.14
en_398	5.32
en_399	5.28
en_400	2.83
en_401	5.28
en_402	5.13
en_403	4.91
en_404	4.03
en_405	5
en_406	1.58
en_407	4.02
en_408	3.97
en_409	4.29
en_410	5.02
en_411	3.91
en_412	4.85
en_413	5.12
en_414	2.44
en_415	3.79
en_416	4.62
en_417	5.33
en_418	3.79
en_419	5.1
en_420	1.78
en_421	5.06
en_422	3.82
en_423	3.25
en_424	4.88
en_425	5.62
en_426	5
en_427	3.94
en_428	4.89
en_429	3.83
en_430	5.24
en_431	5.71
en_432	1.67
en_433	4.46
en_434	5.23
en_435	5.4
en_436	4.88
en_437	4.01
en_438	4.52
en_439	4.54
en_440	3.89
en_441	4.34
en_442	3.98
en_443	5.14
en_444	4.16
en_445	5.01
en_446	4.74
en_447	4.62
en_448	4.72
en_449	3.93
en_450	5.69
en_451	4.46
en_452	3.84
en_453	4.04
en_454	4.56
en_455	4.66
en_456	4.2
en_457	3.78
en_458	4.76
en_459	4.67
en_460	5.54
en_461	4.04
en_462	5.28
en_463	4.76
en_464	4.1
en_465	4.86
en_466	3.6
en_467	4.73
en_468	5.22
en_469	3.76
en_470	5.26
en_471	1.71
en_472	5.44
en_473	1.52
en_474	4.5
en_475	4.66
en_476	4.1
en_477	1.65
en_478	5.36
en_479	5.11
en_480	3.39
en_481	4.51
en_482	4.07
en_483	4.9
en_484	4.72
en_485	4.23
en_486	5.73
en_487	4.19
en_488	3.24
en_489	1.91
en_490	4.93
en_491	3.92
en_492	5.28
en_493	3.36
en_494	5
en_495	4.98
en_496	4.92
en_497	3.79
en_498	4.33
en_499	5.2
en_500	4.54
en_501	5.48
en_502	4.72
en_503	4.12
en_504	4.77
en_505	1.98
en_506	4.88
en_507	4.22
en_508	4.15
en_509	4.54
en_510	4.69
en_511	1.56
en_512	4.3
en_513	5.04
en_514	5.13
en_515	4.7
en_516	4.08
en_517	4.69
en_518	4.95
en_519	4.46
en_520	4.86
en_521	4.9
en_522	5.06
en_523	4.29
en_524	4.97
en_525	4.56
en_526	5.5
en_527	2.9
en_528	3.26
en_529	5.5
en_530	4.73
en_531	1.6
en_532	4.49
en_533	5.76
en_534	3.99
en_535	5.26
en_536	4.69
en_537	5.26
en_538	3.7
en_539	3.48
en_540	4.62
en_541	4.29
en_542	4.32
en_543	5.05
en_544	3.81
en_545	4.52
en_546	5.27
en_547	4.73
en_548	4.93
en_549	5.12
en_550	4.78
en_551	4.8
en_552	4.8
en_553	4.81
en_554	4.84
en_555	4.57
en_556	4.24
en_557	4.8
en_558	3.28
en_559	4.8
en_560	4.66
en_561	3.18
en_562	4.55
en_563	4.86
en_564	4.9
en_565	4.77
en_566	1.42
en_567	3.98
en_568	4.34
en_569	4.96
en_570	5.25
en_571	4.11
en_572	4.57
en_573	4.18
en_574	4.69
en_575	2.14
en_576	3.6
en_577	4.21
en_578	4.29
en_579	4.85
en_580	5.38
en_581	3.92
en_582	4.78
en_583	1.51
en_584	4.81
en_585	5.26
en_586	1.62
en_587	4.76
en_588	3.41
en_589	4.94
en_590	3.46
en_591	1.71
en_592	2.8
en_593	4.73
en_594	5.12
en_595	4.68
en_596	4.12
en_597	3.3
en_598	4.86
en_599	3.1
en_600	5.07
en_601	5.01
en_602	4.62
en_603	3.41
en_604	4
en_605	4.66
en_606	4.69
en_607	4.36
en_608	5.03
en_609	4.78
en_610	2.41
en_611	5.02
en_612	5.41
en_613	4.27
en_614	5.85
en_615	4.69
en_616	5.19
en_617	3.54
en_618	5.02
en_619	5.34
en_620	4.07
en_621	5.04
en_622	4.58
en_623	4.28
en_624	4.32
en_625	4.51
en_626	4.38
en_627	4.7
en_628	3.42
en_629	4.72
en_630	1.61
en_631	4.89
en_632	4.46
en_633	3.83
en_634	4.79
en_635	4.78
en_636	5.1
en_637	5.35
en_638	4.67
en_639	3.52
en_640	4.08
en_641	4.78
en_642	1.52
en_643	4.39
en_644	4.7
en_645	5
en_646	4.9
en_647	5.11
en_648	4.45
en_649	4.53
en_650	5.26
en_651	5.44
en_652	5.6
en_653	5.04
en_654	3.61
en_655	5.19
en_656	4.78
en_657	3.98
en_658	3.33
en_659	4.89
en_660	5.68
en_661	3.79
en_662	5.3
en_663	4.03
en_664	1.56
en_665	4.78
en_666	4.08
en_667	4.42
en_668	4.99
en_669	3.29
en_670	4.36
en_671	3.44
en_672	3.38
en_673	5.22
en_674	4.73
en_675	4.96
en_676	5.1
en_677	3.84
en_678	5.26
en_679	5.44
en_680	4.88
en_681	1.66
en_682	4.67
en_683	4.67
en_684	4.99
en_685	1.61
en_686	4.52
en_687	4.97
en_688	4.8
en_689	4.6
en_690	5.46
en_691	3.97
en_692	5.04
en_693	1.82
en_694	4.73
en_695	3.34
en_696	4.85
en_697	5.69
en_698	3.73
en_699	1.62
en_700	4.38
en_701	5.05
en_702	4.36
en_703	5.04
en_704	5.56
en_705	4.14
en_706	4.98
en_707	5.13
en_708	4.75
en_709	1.46
en_710	5.72
en_711	4.99
en_712	5.26
en_713	1.54
en_714	4.54
en_715	5.14
en_716	5.48
en_717	4.05
en_718	1.75
en_719	4.31
en_720	5.52
en_721	4.2
en_722	5.34
en_723	3.54
en_724	4.34
en_725	4.38
en_726	4.56
en_727	5.42
en_728	1.83
en_729	5.86
en_730	5.11
en_731	4.88
en_732	3.91
en_733	4.7
en_734	3.7
en_735	4.8
en_736	3.68
en_737	3.91
en_738	3.6
en_739	4.6
en_740	2.51
en_741	4.13
en_742	4.08
en_743	4.98
en_744	5.03
en_745	3.96
en_746	5.2
en_747	5.53
en_748	4.96
en_749	4.76
en_750	4.27
en_751	3.92
en_752	4.5
en_753	4.36
en_754	4.1
en_755	4.88
en_756	3.59
en_757	4.49
en_758	5
en_759	5.79
en_760	5.81
en_761	4.69
en_762	5.02
en_763	4.9
en_764	4.94
en_765	4.92
en_766	4.77
en_767	4.36
en_768	5.42
en_769	4.39
en_770	4.5
en_771	4.8
en_772	3.88
en_773	2.91
en_774	3.7
en_775	5.36
en_776	4.38
en_777	5.03
en_778	3.96
en_779	5.62
en_780	5.18
en_781	1.54
en_782	5
en_783	4.58
en_784	5.33
en_785	5.05
en_786	1.58
en_787	4.03
en_788	5.21
en_789	1.56
en_790	4.56
en_791	4.4
en_792	5.3
en_793	5.18
en_794	4.98
en_795	2.01
en_796	3.87
en_797	4.74
en_798	3.34
en_799	4.64
en_800	4.22
en_801	5.04
en_802	5.5
en_803	1.68
en_804	3.87
en_805	4.22
en_806	4.65
en_807	5.46
en_808	4.5
en_809	4.03
en_810	1.52
en_811	4.75
en_812	4.65
en_813	4.06
en_814	4.94
en_815	3.32
en_816	4.33
en_817	4.74
en_818	4.78
en_819	3.95
en_820	3.96
en_821	3.92
en_822	5.15
en_823	3.12
en_824	4.22
en_825	4.59
en_826	4.91
en_827	5.48
en_828	5.19
en_829	4.13
en_830	4.89
en_831	3.11
en_832	4.26
en_833	4.98
en_834	4.06
en_835	3.64
en_836	5.29
en_837	5.2
en_838	4.64
en_839	3.76
en_840	3.67
en_841	4.54
en_842	4.11
en_843	4.64
en_844	4.19
en_845	1.56
en_846	4.43
en_847	3.8
en_848	5.36
en_849	3.08
en_850	4.56
en_851	5.2
en_852	5.43
en_853	4.59
en_854	5.5
en_855	4.72
en_856	4.65
en_857	1.46
en_858	5.42
en_859	3.83
en_860	4.94
en_861	4.19
en_862	4.6
en_863	2.01
en_864	4.76
en_865	2.28
en_866	1.79
en_867	4.99
en_868	1.69
en_869	4.42
en_870	4.83
en_871	3.92
en_872	1.65
en_873	4.5
en_874	4.47
en_875	2.76
en_876	2.05
en_877	4.49
en_878	4.64
en_879	3.88
en_880	5.28
en_881	1.57
en_882	4.36
en_883	4.65
en_884	4.8
en_885	5.04
en_886	4.54
en_887	5.08
en_888	5.54
en_889	5.07
en_890	3.46
en_891	5.27
en_892	4.82
en_893	4.03
en_894	3.66
en_895	4.74
en_896	4.25
en_897	4.09
en_898	4.31
en_899	3.82
en_900	4.78
en_901	5.63
en_902	1.6
en_903	5.58
en_904	4.28
en_905	4.36
en_906	4.24
en_907	5.16
en_908	2.66
en_909	3.97
en_910	3.8
en_911	1.79
en_912	4.82
en_913	5.11
en_914	5.02
en_915	3.8
en_916	3.8
en_917	4.51
en_918	3.29
en_919	4.36
en_920	5.28
en_921	5.46
en_922	3.93
en_923	4.96
en_924	4.83
en_925	4.66
en_926	5.8
en_927	4.58
en_928	4.87
en_929	4.97
en_930	5.12
en_931	1.89
en_932	4.6
en_933	4.53
en_934	5.01
en_935	1.46
en_936	4.3
en_937	1.89
en_938	1.48
en_939	4.88
en_940	3.37
en_941	5.4
en_942	1.75
en_943	4.78
en_944	4.7
en_945	4.22
en_946	3.88
en_947	4.67
en_948	5.49
en_949	4.75
en_950	4.19
en_951	4.76
en_952	5.15
en_953	3.58
en_954	4.38
en_955	5.22
en_956	4.46
en_957	4.9
en_958	4.36
en_959	5.07
en_960	4.56
en_961	3.36
en_962	4.82
en_963	3.66
en_964	4
en_965	5
en_966	4.56
en_967	4.28
en_968	4.24
en_969	5.14
en_970	4.72
en_971	4.91
en_972	5.06
en_973	5.16
en_974	4.81
en_975	4.04
en_976	5.23
en_977	3.26
en_978	3.89
en_979	5.2
en_980	5.74
en_981	5.11
en_982	4.04
en_983	4.72
en_984	4.7
en_985	5.26
en_986	5.57
en_987	5.04
en_988	4.19
en_989	4.78
en_990	4.24
en_991	3.34
en_992	3.67
en_993	4.68
en_994	5.06
en_995	4.27
en_996	5.31
en_997	5.18
en_998	4.4
en_999	3.89
en_1000	4.53
en_1001	4.46
en_1002	3.72
en_1003	4.29
en_1004	4.76
en_1005	3.89
en_1006	3.65
en_1007	1.79
en_1008	5.16
fr_0	6.06
fr_1	5.27
fr_2	5.7
fr_3	5.75
fr_4	6.33
fr_5	5.78
fr_6	6.22
fr_7	5.89
fr_8	5.48
fr_9	3.52
fr_10	6.38
fr_11	6.37
fr_12	5.59
fr_13	6.26
fr_14	6.02
fr_15	5.41
fr_16	5.38
fr_17	4.22
fr_18	5.48
fr_19	5.69
fr_20	5.68
fr_21	5.86
fr_22	6.38
fr_23	6.16
fr_24	6.3
fr_25	5.6
fr_26	5.08
fr_27	5.85
fr_28	1.21
fr_29	5.86
fr_30	1.41
fr_31	6.39
fr_32	5.5
fr_33	5.64
fr_34	5.61
fr_35	5.78
fr_36	5.46
fr_37	6.35
fr_38	1.23
fr_39	5.82
fr_40	6.34
fr_41	5.69
fr_42	5.48
fr_43	5.98
fr_44	6.01
fr_45	6.04
fr_46	4.78
fr_47	4.19
fr_48	5.86
fr_49	6.36
fr_50	5.77
fr_51	5.66
fr_52	5.36
fr_53	5.73
fr_54	1.38
fr_55	5.25
fr_56	2.57
fr_57	5.7
fr_58	5.75
fr_59	6.01
fr_60	5.51
fr_61	5.81
fr_62	1.88
fr_63	5.69
fr_64	5.38
fr_65	5.89
fr_66	5.69
fr_67	5.77
fr_68	5.81
fr_69	6.02
fr_70	5.62
fr_71	5.8
fr_72	6.32
fr_73	4.57
fr_74	5.52
fr_75	5.93
fr_76	5.38
fr_77	5.42
fr_78	5.22
fr_79	5.46
fr_80	5.74
fr_81	5.9
fr_82	5.76
fr_83	5.77
fr_84	5.94
fr_85	5.72
fr_86	5.81
fr_87	5.8
fr_88	6.1
fr_89	5.86
fr_90	5.18
fr_91	5.28
fr_92	5.4
fr_93	5.68
fr_94	5.88
fr_95	5.65
fr_96	5.54
fr_97	5.62
fr_98	5.44
fr_99	5.4
fr_100	5.82
fr_101	6.14
fr_102	5.92
fr_103	5.57
fr_104	6.3
fr_105	5.64
fr_106	5.52
fr_107	6.18
fr_108	5.38
fr_109	5.69
fr_110	6.3
fr_111	5.46
fr_112	4.72
fr_113	5.42
fr_114	1.19
fr_115	5.87
fr_116	5.46
fr_117	4
fr_118	1.12
fr_119	5.6
fr_120	5.38
fr_121	1.35
fr_122	5.81
fr_123	5.84
fr_124	5.93
fr_125	5.4
fr_126	6.35
fr_127	5.92
fr_128	5.47
fr_129	5.68
fr_130	5.84
fr_131	5.86
fr_132	5.91
fr_133	4.89
fr_134	1.49
fr_135	5.26
fr_136	4.58
fr_137	1.34
fr_138	5.37
fr_139	5.93
fr_140	1.29
fr_141	5.69
fr_142	5.64
fr_143	5.74
fr_144	1.23
fr_145	5.69
fr_146	5.68
fr_147	5.92
fr_148	5.68
fr_149	5.08
fr_150	5.74
fr_151	6.23
fr_152	6.04
fr_153	5.47
fr_154	5.54
fr_155	6
fr_156	5.74
fr_157	5.53
fr_158	5.71
fr_159	5.26
fr_160	4.24
fr_161	6.31
fr_162	5.47
fr_163	5.77
fr_164	5.18
fr_165	5.57
fr_166	5.94
fr_167	4.71
fr_168	5.8
fr_169	6.06
fr_170	5.53
fr_171	5.94
fr_172	5.88
fr_173	6.09
fr_174	5.62
fr_175	4.39
fr_176	5.31
fr_177	5.77
fr_178	5.35
fr_179	5.58
fr_180	5.72
fr_181	5.82
fr_182	4.81
fr_183	6.1
fr_184	6.12
fr_185	5.91
fr_186	6.39
fr_187	6.32
fr_188	5.63
fr_189	5.49
fr_190	5.6
fr_191	5.9
fr_192	5.7
fr_193	5.72
fr_194	5.82
fr_195	1.48
fr_196	5.55
fr_197	6.05
fr_198	5.44
fr_199	5.8
fr_200	1.21
fr_201	5.74
fr_202	5.77
fr_203	5.54
fr_204	4.92
fr_205	4.6
fr_206	4.79
fr_207	5.75
fr_208	5.66
fr_209	5.32
fr_210	6.24
fr_211	5.78
fr_212	1.21
fr_213	6.31
fr_214	5.42
fr_215	1.65
fr_216	6.16
fr_217	5.96
fr_218	6.12
fr_219	5.55
fr_220	5.72
fr_221	5.92
fr_222	4.61
fr_223	6.09
fr_224	5.94
fr_225	5.39
fr_226	5.78
fr_227	5.84
fr_228	5.7
fr_229	6.3
fr_230	5.54
fr_231	5.77
fr_232	5.82
fr_233	5.54
fr_234	5.44
fr_235	5.31
fr_236	5.48
fr_237	5.81
fr_238	5.78
fr_239	5.74
fr_240	5.7
fr_241	5.63
fr_242	5.72
fr_243	5.96
fr_244	6.3
fr_245	2.52
fr_246	5.81
fr_247	1.29
fr_248	5.69
fr_249	5.92
fr_250	1.17
fr_251	5.44
fr_252	5.38
fr_253	5.66
fr_254	6.36
fr_255	5.66
fr_256	5.62
fr_257	5.73
fr_258	5.78
fr_259	1.27
fr_260	3.58
fr_261	5.4
fr_262	5.88
fr_263	5.89
fr_264	6.3
fr_265	5.63
fr_266	5.5
fr_267	5.38
fr_268	3.26
fr_269	5.51
fr_270	5.78
fr_271	5.89
fr_272	5.78
fr_273	5.54
fr_274	6.19
fr_275	6.03
fr_276	5.66
fr_277	5.78
fr_278	5.85
fr_279	5.84
fr_280	5.78
fr_281	5.38
fr_282	6.18
fr_283	5.94
fr_284	5.66
fr_285	4.3
fr_286	5.4
fr_287	6.14
fr_288	1.2
fr_289	5.77
fr_290	5.34
fr_291	4.08
fr_292	5.63
fr_293	5.71
fr_294	5.3
fr_295	5.35
fr_296	6.23
fr_297	5.54
fr_298	5.52
fr_299	5.39
fr_300	5.69
fr_301	5.94
fr_302	1.54
fr_303	5.4
fr_304	5.49
fr_305	1.27
fr_306	6
fr_307	5.38
fr_308	5.97
fr_309	5.22
fr_310	4.36
fr_311	5.62
fr_312	1.25
fr_313	6.3
fr_314	5.72
fr_315	5.89
fr_316	5.81
fr_317	6.34
fr_318	5.69
fr_319	5.73
fr_320	1.25
fr_321	5.72
fr_322	6.3
fr_323	5.67
fr_324	5.41
fr_325	5.98
fr_326	5.09
fr_327	5.78
fr_328	5.78
fr_329	5.84
fr_330	5.72
fr_331	5.39
fr_332	5.88
fr_333	5.8
fr_334	5.66
fr_335	6.14
fr_336	5.45
fr_337	5.84
fr_338	5.48
fr_339	5.7
fr_340	4.02
fr_341	5.3
fr_342	5.63
fr_343	1.33
fr_344	6.08
fr_345	5.72
fr_346	5.85
fr_347	5.73
fr_348	5.18
fr_349	5.58
fr_350	5.64
fr_351	5.76
fr_352	5.36
fr_353	3.37
fr_354	5.45
fr_355	3.35
fr_356	1.63
fr_357	5.42
fr_358	1.19
fr_359	5.53
fr_360	5.34
fr_361	5.78
fr_362	5.74
fr_363	6.26
fr_364	5.12
fr_365	6.14
fr_366	5.68
fr_367	1.48
fr_368	6.38
fr_369	5.81
fr_370	5.7
fr_371	5.48
fr_372	1.66
fr_373	5.84
fr_374	5.8
fr_375	1.34
fr_376	5.63
fr_377	1.24
fr_378	5.74
fr_379	5.15
fr_380	6.22
fr_381	5.98
fr_382	6
fr_383	5.96
fr_384	5.52
fr_385	5.38
fr_386	6.16
fr_387	5.75
fr_388	5.96
fr_389	5.87
fr_390	4.7
fr_391	1.13
fr_392	5.01
fr_393	5.74
fr_394	4.26
fr_395	6.1
fr_396	5.63
fr_397	5.42
fr_398	5.65
fr_399	5.54
fr_400	6.16
fr_401	5.7
fr_402	5.8
fr_403	5.42
fr_404	5.96
fr_405	6.2
fr_406	5.47
fr_407	5.8
fr_408	5.56
fr_409	5.51
fr_410	5
fr_411	5.44
fr_412	4.62
fr_413	5.84
fr_414	5.92
fr_415	5.7
fr_416	1.64
fr_417	1.73
fr_418	5.38
fr_419	5.64
fr_420	5.7
fr_421	6.23
fr_422	5.26
fr_423	1.33
fr_424	5.7
fr_425	5.65
fr_426	6.07
fr_427	5.7
fr_428	5.04
fr_429	5.36
fr_430	1.5
fr_431	5.68
fr_432	5.78
fr_433	3.4
fr_434	1.38
fr_435	5.7
fr_436	5.78
fr_437	5.83
fr_438	5.86
fr_439	6.3
fr_440	5.9
fr_441	5.82
fr_442	6.03
fr_443	6.36
fr_444	5.64
fr_445	5.79
fr_446	5.78
fr_447	5.45
fr_448	5.7
fr_449	5.78
fr_450	6.12
fr_451	5.95
fr_452	5.36
fr_453	6.24
fr_454	5.65
fr_455	6.01
fr_456	4.97
fr_457	1.36
fr_458	6.23
fr_459	5.8
fr_460	6.32
fr_461	6.22
fr_462	5.76
fr_463	4.58
fr_464	6.02
fr_465	5.78
fr_466	5.81
fr_467	5.49
fr_468	6.1
fr_469	5.75
fr_470	5.62
fr_471	5.66
fr_472	5.97
fr_473	1.46
fr_474	6.34
fr_475	5.44
fr_476	4.89
fr_477	5.79
fr_478	1.25
fr_479	5.71
fr_480	1.4
fr_481	5.37
fr_482	5.46
fr_483	5.82
fr_484	5.86
fr_485	6.11
fr_486	6.11
fr_487	5.78
fr_488	5.85
fr_489	5.6
fr_490	5.56
fr_491	5.68
fr_492	5.69
fr_493	5.8
fr_494	5.84
fr_495	5.9
fr_496	5.88
fr_497	5.63
fr_498	5.77
fr_499	5.78
fr_500	5.66
fr_501	5.92
fr_502	5.7
fr_503	5.52
fr_504	5.72
fr_505	5.81
fr_506	5.41
fr_507	5.8
fr_508	5.44
fr_509	4.62
fr_510	5.77
fr_511	6.17
fr_512	6.36
fr_513	5.56
fr_514	5.93
fr_515	6.14
fr_516	5.51
fr_517	6.25
fr_518	5.46
fr_519	5.86
fr_520	5.56
fr_521	6.34
fr_522	6.07
fr_523	5.89
fr_524	5.53
fr_525	5.94
fr_526	6.22
fr_527	4.4
fr_528	5.36
fr_529	5.64
fr_530	5.38
fr_531	5.76
fr_532	4.36
fr_533	1.17
fr_534	5.95
fr_535	5.86
fr_536	5.33
fr_537	5.58
fr_538	5.3
fr_539	5.22
fr_540	5.76
fr_541	5.94
fr_542	5.45
fr_543	5.97
fr_544	5.78
fr_545	5.38
fr_546	5.54
fr_547	5.62
fr_548	4.95
fr_549	5.7
fr_550	5.72
fr_551	6.06
fr_552	5.2
fr_553	5.93
fr_554	5.7
fr_555	5.79
fr_556	5.77
fr_557	6.04
fr_558	1.39
fr_559	5.66
fr_560	5.72
fr_561	5.82
fr_562	6.02
fr_563	5.86
fr_564	6.35
fr_565	5.94
fr_566	5.88
fr_567	5.26
fr_568	5.89
fr_569	5.56
fr_570	5.66
fr_571	5.61
fr_572	5.83
fr_573	5.94
fr_574	5.63
fr_575	5.56
fr_576	3.94
fr_577	6.01
fr_578	1.16
fr_579	1.25
fr_580	6.13
fr_581	6
fr_582	6.27
fr_583	5.85
fr_584	5.57
fr_585	5.94
fr_586	5.66
fr_587	5.68
fr_588	4.44
fr_589	5.35
fr_590	5.88
fr_591	5.7
fr_592	5.79
fr_593	5.71
fr_594	5.3
fr_595	5.7
fr_596	6.19
fr_597	5.53
fr_598	5.44
fr_599	5.78
fr_600	5.8
fr_601	6.26
fr_602	6
fr_603	5.43
fr_604	6.18
fr_605	5.64
fr_606	5.46
fr_607	5.68
fr_608	5.16
fr_609	5.56
fr_610	5.43
fr_611	1.19
fr_612	5.44
fr_613	6.38
fr_614	4.15
fr_615	5.4
fr_616	5.4
fr_617	6.31
fr_618	5.48
fr_619	5.38
fr_620	5.78
fr_621	5.22
fr_622	5.36
fr_623	4.88
fr_624	6.31
fr_625	5.73
fr_626	6.08
fr_627	5.42
fr_628	5.81
fr_629	1.2
fr_630	5.55
fr_631	5.69
fr_632	5.84
fr_633	6
fr_634	5.77
fr_635	5.98
fr_636	2.08
fr_637	6.28
fr_638	5.86
fr_639	1.34
fr_640	5.77
fr_641	5.36
fr_642	5.89
fr_643	5.94
fr_644	6.24
fr_645	5.78
fr_646	6.39
fr_647	6.23
fr_648	5.28
fr_649	4.85
fr_650	5.84
fr_651	5.52
fr_652	6.14
fr_653	6.31
fr_654	5.34
fr_655	6.14
fr_656	1.22
fr_657	6.04
fr_658	5.16
fr_659	6.03
